120000,d4567597,/Restaurant_Review-g190454-d4567597-Reviews-Wulfisch-Vienna.html
120001,d8704271,/Restaurant_Review-g190454-d8704271-Reviews-Cocos-Vienna.html
120002,d4773953,/Restaurant_Review-g190454-d4773953-Reviews-Al_centro-Vienna.html
120003,d4735975,/Restaurant_Review-g190454-d4735975-Reviews-Restaurant_Regio-Vienna.html
120004,d7336170,/Restaurant_Review-g190454-d7336170-Reviews-Buschenschank_Annette_Prager-Vienna.html
120005,d1319494,/Restaurant_Review-g190454-d1319494-Reviews-SONGTSEN_GAMPO-Vienna.html
120006,d8592434,/Restaurant_Review-g190454-d8592434-Reviews-Split-Vienna.html
120007,d5986466,/Restaurant_Review-g190454-d5986466-Reviews-Cafe_Else-Vienna.html
120008,d10795757,/Restaurant_Review-g190454-d10795757-Reviews-VegAnita-Vienna.html
120009,d3850010,/Restaurant_Review-g190454-d3850010-Reviews-Takami-Vienna.html
120010,d941093,/Restaurant_Review-g190454-d941093-Reviews-Hanil_Sushi-Vienna.html
120011,d8646089,/Restaurant_Review-g190454-d8646089-Reviews-Restaurant_Tulpe-Vienna.html
120012,d5981079,/Restaurant_Review-g190454-d5981079-Reviews-Gasthaus_Belvedere-Vienna.html
120013,d6017491,/Restaurant_Review-g190454-d6017491-Reviews-Koi_Asia_Restaurant-Vienna.html
120014,d10055898,/Restaurant_Review-g190454-d10055898-Reviews-Cafe_Co-Vienna.html
120015,d4314679,/Restaurant_Review-g190454-d4314679-Reviews-Maria_Theresia-Vienna.html
120016,d12402757,/Restaurant_Review-g190454-d12402757-Reviews-Cafe_Bar_Augenblick-Vienna.html
120017,d12447188,/Restaurant_Review-g190454-d12447188-Reviews-Die_ALLEE-Vienna.html
120018,d1103720,/Restaurant_Review-g190454-d1103720-Reviews-Maschu_Maschu-Vienna.html
120019,d1894518,/Restaurant_Review-g190454-d1894518-Reviews-Lili_Hu_Kg_Restaurant-Vienna.html
120020,d5001296,/Restaurant_Review-g190454-d5001296-Reviews-McDonald_s_Restaurant_McDrive_and_McCafe-Vienna.html
120021,d11445150,/Restaurant_Review-g190454-d11445150-Reviews-Nata_Lisboa-Vienna.html
120022,d7117401,/Restaurant_Review-g190454-d7117401-Reviews-Cafe_Restaurant_Donaucity-Vienna.html
120023,d10666667,/Restaurant_Review-g190454-d10666667-Reviews-Steamboo-Vienna.html
120024,d5959377,/Restaurant_Review-g190454-d5959377-Reviews-Business_lounge_GmbH-Vienna.html
120025,d7733154,/Restaurant_Review-g190454-d7733154-Reviews-Pizzeria_Lo_Squalo-Vienna.html
120026,d8795630,/Restaurant_Review-g190454-d8795630-Reviews-Schnitzlland-Vienna.html
120027,d9150122,/Restaurant_Review-g190454-d9150122-Reviews-Das_Kochwerk-Vienna.html
120028,d5975762,/Restaurant_Review-g190454-d5975762-Reviews-Gasthaus_Hansi-Vienna.html
120029,d5976544,/Restaurant_Review-g190454-d5976544-Reviews-Zuckero-Vienna.html
120030,d2660893,/Restaurant_Review-g190454-d2660893-Reviews-Restaurant_Galaxie-Vienna.html
120031,d1475467,/Restaurant_Review-g190454-d1475467-Reviews-Kai_s_Asian_Food-Vienna.html
120032,d10999905,/Restaurant_Review-g190454-d10999905-Reviews-Die_Freunde_Co_Gastronomie_GmbH-Vienna.html
120033,d4844059,/Restaurant_Review-g190454-d4844059-Reviews-Cafe_Klim_Bim-Vienna.html
120034,d11437014,/Restaurant_Review-g190454-d11437014-Reviews-Ristorantino_Da_Francesco-Vienna.html
120035,d10081544,/Restaurant_Review-g190454-d10081544-Reviews-Cafe_Theaterpause-Vienna.html
